20,0.0,0.0,1.0,9.0,16.0,16.0,3.0,0.0,0.0,0.0,14.0,11.0,8.0,16.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,16.0,3.0,0.0,0.0,0.0,6.0,12.0,16.0,16.0,9.0,0.0,0.0,1.0,16.0,14.0,16.0,5.0,0.0,0.0,0.0,0.0,2.0,8.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,0.0,0.0,0.0,7
21,0.0,0.0,0.0,3.0,12.0,10.0,0.0,0.0,0.0,0.0,1.0,14.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,16.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,14.0,16.0,2.0,0.0,0.0,0.0,0.0,3.0,14.0,15.0,3.0,0.0,0.0,0.0,1.0,16.0,4.0,9.0,9.0,0.0,0.0,0.0,0.0,4.0,13.0,4.0,7.0,8.0,0.0,0.0,0.0,0.0,3.0,10.0,11.0,15.0,2.0,8
22,0.0,0.0,15.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,16.0,16.0,11.0,3.0,0.0,0.0,0.0,0.0,12.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,0.0,0.0,0.0,0.0,0.0,9.0,16.0,10.0,0.0,0.0,0.0,0.0,0.0,11.0,15.0,1.0,0.0,0.0,0.0,5
23,0.0,0.0,3.0,11.0,16.0,15.0,2.0,0.0,0.0,4.0,16.0,10.0,4.0,16.0,4.0,0.0,0.0,7.0,6.0,0.0,5.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,9.0,16.0,16.0,10.0,0.0,0.0,0.0,0.0,6.0,15.0,6.0,1.0,0.0,0.0,0.0,0.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,2.0,0.0,0.0,0.0,7
24,0.0,0.0,0.0,9.0,16.0,3.0,0.0,0.0,0.0,0.0,7.0,16.0,7.0,0.0,0.0,0.0,0.0,2.0,15.0,8.0,0.0,1.0,7.0,0.0,0.0,9.0,14.0,0.0,2.0,13.0,14.0,0.0,0.0,8.0,16.0,14.0,15.0,16.0,6.0,0.0,0.0,1.0,7.0,8.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,7.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,4
25,0.0,0.0,0.0,0.0,11.0,14.0,3.0,0.0,0.0,0.0,0.0,2.0,16.0,16.0,2.0,0.0,0.0,0.0,0.0,11.0,16.0,14.0,0.0,0.0,0.0,0.0,3.0,16.0,16.0,15.0,0.0,0.0,0.0,1.0,13.0,16.0,16.0,13.0,0.0,0.0,0.0,6.0,16.0,9.0,15.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,14.0,1.0,0.0,1
26,0.0,0.0,0.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,7.0,4.0,2.0,0.0,0.0,0.0,8.0,16.0,11.0,9.0,15.0,5.0,0.0,0.0,5.0,14.0,1.0,0.0,10.0,9.0,0.0,0.0,0.0,11.0,12.0,5.0,13.0,5.0,0.0,0.0,0.0,1.0,13.0,16.0,9.0,0.0,0.0,6
27,0.0,0.0,0.0,14.0,14.0,1.0,0.0,0.0,0.0,0.0,7.0,16.0,10.0,2.0,0.0,0.0,0.0,0.0,14.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,16.0,14.0,4.0,0.0,0.0,0.0,1.0,16.0,16.0,8.0,16.0,2.0,0.0,0.0,0.0,14.0,11.0,0.0,13.0,9.0,0.0,0.0,0.0,9.0,14.0,6.0,16.0,7.0,0.0,0.0,0.0,0.0,14.0,16.0,14.0,0.0,0.0,6
28,0.0,0.0,0.0,0.0,5.0,15.0,10.0,0.0,0.0,0.0,0.0,8.0,11.0,15.0,7.0,0.0,0.0,0.0,6.0,13.0,10.0,16.0,7.0,0.0,0.0,3.0,16.0,14.0,12.0,15.0,4.0,0.0,0.0,1.0,11.0,8.0,1.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,0.0,9
29,0.0,0.0,2.0,12.0,8.0,7.0,6.0,2.0,0.0,0.0,9.0,16.0,15.0,16.0,16.0,5.0,0.0,0.0,13.0,11.0,0.0,10.0,14.0,0.0,0.0,0.0,11.0,3.0,2.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,0.0,0.0,0.0,0.0,0.0,8.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,15.0,12.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,2.0,0.0,0.0,0.0,7
30,0.0,0.0,9.0,13.0,8.0,0.0,0.0,0.0,0.0,0.0,13.0,16.0,16.0,12.0,0.0,0.0,0.0,2.0,16.0,7.0,6.0,15.0,3.0,0.0,0.0,8.0,14.0,0.0,0.0,8.0,3.0,0.0,0.0,5.0,14.0,0.0,0.0,8.0,8.0,0.0,0.0,2.0,16.0,13.0,11.0,14.0,4.0,0.0,0.0,3.0,16.0,15.0,16.0,6.0,0.0,0.0,0.0,0.0,6.0,14.0,8.0,0.0,0.0,0.0,0
31,0.0,0.0,0.0,4.0,15.0,12.0,0.0,0.0,0.0,0.0,5.0,15.0,16.0,11.0,0.0,0.0,0.0,8.0,16.0,16.0,16.0,4.0,0.0,0.0,0.0,14.0,11.0,11.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,5.0,0.0,0.0,1
32,0.0,0.0,5.0,12.0,16.0,9.0,0.0,0.0,0.0,7.0,16.0,10.0,3.0,0.0,0.0,0.0,0.0,8.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,14.0,4.0,6.0,0.0,0.0,0.0,0.0,4.0,14.0,12.0,13.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,7.0,0.0,0.0,0.0,4.0,12.0,13.0,8.0,0.0,0.0,5
33,0.0,0.0,1.0,9.0,15.0,10.0,1.0,0.0,0.0,0.0,2.0,12.0,8.0,12.0,4.0,0.0,0.0,0.0,0.0,11.0,1.0,11.0,3.0,0.0,0.0,0.0,0.0,8.0,8.0,15.0,4.0,0.0,0.0,2.0,15.0,16.0,16.0,7.0,0.0,0.0,0.0,2.0,15.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,9.0,0.0,0.0,0.0,8
34,0.0,0.0,4.0,12.0,13.0,3.0,0.0,0.0,0.0,0.0,7.0,14.0,16.0,9.0,0.0,0.0,0.0,0.0,0.0,12.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,9.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,12.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,16.0,11.0,0.0,0.0,1
35,0.0,0.0,1.0,11.0,15.0,6.0,0.0,0.0,0.0,2.0,15.0,10.0,16.0,15.0,0.0,0.0,0.0,1.0,14.0,5.0,6.0,11.0,0.0,0.0,0.0,0.0,5.0,14.0,14.0,3.0,0.0,0.0,0.0,0.0,1.0,14.0,16.0,6.0,0.0,0.0,0.0,0.0,10.0,8.0,6.0,15.0,1.0,0.0,0.0,0.0,9.0,9.0,4.0,16.0,3.0,0.0,0.0,0.0,1.0,15.0,15.0,6.0,0.0,0.0,8
36,0.0,0.0,1.0,8.0,16.0,7.0,0.0,0.0,0.0,0.0,3.0,16.0,16.0,12.0,0.0,0.0,0.0,1.0,15.0,16.0,16.0,12.0,0.0,0.0,0.0,3.0,12.0,15.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,8.0,16.0,10.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,16.0,1.0,0.0,0.0,0.0,0.0,5.0,13.0,7.0,0.0,0.0,1
37,0.0,0.0,4.0,15.0,12.0,2.0,0.0,0.0,0.0,0.0,9.0,16.0,14.0,2.0,0.0,0.0,0.0,0.0,12.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,12.0,1.0,0.0,0.0,0.0,0.0,9.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,10.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,9.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,12.0,0.0,0.0,0.0,1
38,0.0,0.0,7.0,16.0,12.0,0.0,0.0,0.0,0.0,1.0,16.0,7.0,13.0,3.0,0.0,0.0,0.0,0.0,15.0,2.0,10.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,14.0,8.0,7.0,1.0,0.0,0.0,6.0,13.0,12.0,12.0,15.0,12.0,2
39,0.0,2.0,13.0,16.0,16.0,15.0,4.0,0.0,0.0,7.0,12.0,8.0,8.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,8.0,16.0,7.0,0.0,0.0,0.0,0.0,0.0,14.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,11.0,0.0,0.0,0.0,4.0,4.0,7.0,16.0,10.0,0.0,0.0,2.0,15.0,16.0,16.0,12.0,1.0,0.0,3
40,0.0,3.0,10.0,11.0,12.0,12.0,6.0,0.0,0.0,8.0,14.0,11.0,8.0,8.0,4.0,0.0,0.0,8.0,10.0,7.0,3.0,0.0,0.0,0.0,0.0,8.0,16.0,14.0,15.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,0.0,0.0,1.0,8.0,4.0,10.0,10.0,0.0,0.0,0.0,2.0,15.0,16.0,13.0,2.0,0.0,0.0,5
41,0.0,0.0,5.0,14.0,11.0,1.0,0.0,0.0,0.0,0.0,16.0,10.0,14.0,13.0,0.0,0.0,0.0,0.0,14.0,2.0,8.0,16.0,6.0,0.0,0.0,0.0,12.0,7.0,10.0,16.0,8.0,0.0,0.0,0.0,5.0,16.0,16.0,15.0,8.0,0.0,0.0,1.0,3.0,1.0,2.0,11.0,9.0,0.0,0.0,1.0,15.0,6.0,4.0,12.0,11.0,0.0,0.0,0.0,6.0,16.0,14.0,12.0,3.0,0.0,9
42,0.0,0.0,3.0,15.0,16.0,15.0,1.0,0.0,0.0,0.0,9.0,11.0,9.0,16.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,14.0,0.0,0.0,0.0,0.0,4.0,15.0,15.0,16.0,6.0,0.0,0.0,0.0,2.0,12.0,15.0,7.0,1.0,0.0,0.0,0.0,0.0,13.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,1.0,0.0,0.0,0.0,7
43,0.0,0.0,2.0,10.0,16.0,12.0,0.0,0.0,0.0,2.0,15.0,14.0,8.0,1.0,0.0,0.0,0.0,2.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,14.0,13.0,3.0,0.0,0.0,0.0,10.0,16.0,7.0,11.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,16.0,2.0,0.0,0.0,0.0,2.0,14.0,16.0,8.0,0.0,0.0,5
44,0.0,0.0,3.0,12.0,16.0,16.0,3.0,0.0,0.0,2.0,16.0,16.0,11.0,16.0,4.0,0.0,0.0,8.0,14.0,2.0,10.0,16.0,1.0,0.0,0.0,5.0,5.0,3.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,11.0,12.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,5.0,2.0,3.0,0.0,0.0,0.0,3.0,16.0,12.0,15.0,6.0,0.0,0.0,0.0,0.0,15.0,16.0,8.0,0.0,0.0,2
45,0.0,0.0,12.0,16.0,16.0,15.0,3.0,0.0,0.0,4.0,16.0,16.0,6.0,2.0,1.0,0.0,0.0,14.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,9.0,16.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,15.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,7.0,0.0,0.0,0.0,0.0,0.0,14.0,15.0,0.0,0.0,0.0,0.0,5
46,0.0,0.0,2.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,15.0,5.0,0.0,0.0,0.0,0.0,2.0,16.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,7.0,5.0,1.0,0.0,0.0,0.0,7.0,16.0,16.0,16.0,15.0,3.0,0.0,0.0,5.0,16.0,12.0,4.0,10.0,14.0,0.0,0.0,0.0,14.0,13.0,5.0,10.0,15.0,0.0,0.0,0.0,3.0,13.0,16.0,16.0,7.0,0.0,6
47,0.0,0.0,3.0,11.0,16.0,15.0,0.0,0.0,0.0,0.0,15.0,16.0,5.0,13.0,0.0,0.0,0.0,2.0,16.0,9.0,0.0,12.0,0.0,0.0,0.0,1.0,9.0,15.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,12.0,1.0,0.0,0.0,0.0,2.0,14.0,2.0,16.0,5.0,0.0,0.0,0.0,8.0,10.0,1.0,14.0,4.0,0.0,0.0,0.0,3.0,15.0,16.0,9.0,0.0,0.0,8
48,0.0,0.0,0.0,0.0,8.0,13.0,3.0,0.0,0.0,0.0,0.0,12.0,11.0,11.0,5.0,0.0,0.0,0.0,11.0,8.0,8.0,16.0,0.0,0.0,0.0,2.0,16.0,16.0,16.0,15.0,0.0,0.0,0.0,2.0,16.0,11.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,0.0,0.0,9
49,0.0,1.0,9.0,16.0,13.0,7.0,0.0,0.0,0.0,7.0,14.0,4.0,10.0,12.0,0.0,0.0,0.0,6.0,15.0,9.0,16.0,11.0,0.0,0.0,0.0,0.0,9.0,11.0,7.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,0.0,0.0,3.0,13.0,8.0,5.0,14.0,5.0,0.0,0.0,0.0,9.0,14.0,13.0,10.0,1.0,0.0,9
50,0.0,0.0,3.0,13.0,13.0,3.0,0.0,0.0,0.0,2.0,14.0,12.0,12.0,11.0,0.0,0.0,0.0,4.0,16.0,8.0,5.0,15.0,3.0,0.0,0.0,1.0,13.0,14.0,16.0,7.0,0.0,0.0,0.0,0.0,11.0,16.0,13.0,1.0,0.0,0.0,0.0,1.0,16.0,12.0,13.0,14.0,1.0,0.0,0.0,0.0,13.0,13.0,9.0,16.0,7.0,0.0,0.0,0.0,3.0,13.0,16.0,10.0,1.0,0.0,8
51,0.0,0.0,0.0,1.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,14.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,9.0,12.0,0.0,12.0,7.0,0.0,0.0,0.0,12.0,14.0,6.0,16.0,14.0,1.0,0.0,0.0,6.0,16.0,16.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,0.0,0.0,0.0,4
52,0.0,3.0,13.0,16.0,9.0,0.0,0.0,0.0,0.0,10.0,15.0,13.0,15.0,2.0,0.0,0.0,0.0,15.0,4.0,4.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,2.0,0.0,0.0,0.0,0.0,1.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,10.0,16.0,5.0,0.0,0.0,0.0,0.0,4.0,16.0,13.0,8.0,10.0,9.0,1.0,0.0,2.0,16.0,16.0,14.0,12.0,9.0,1.0,2
